Gender,Age,Income,Education,Relationship Status,Residence,Home,Q21,Q22,Q24,Q41_1,Q41_2,Q41_3,Q41_5,Q26,Driving Kids,Car Seat Cost,Exercise,Activities_1,Activities_2,Activities_3,Activities_4,Activities_5,Activities_6,Activities_7,Q33,Q34,Q28,Accidents,Q30,Q31,Q32,Q43,Q44,Q42_1,Q42_2,Q42_3,Q42_4,Q40_9,Q40_10,Q40_11,Q40_12,Q40,Q42,Q35,Q43,Q37,Q44,Q38,Q45,Q39,Q46,Q36
What gender do you associate with?,How old are you?,"How much do you earn? (or your household, whatever you prefer)",What is the highest level of education completed or undertaking?,What is your relationship status?,Pick the environment that best describes where your primary residence is located:,Pick the option that best describes your primary residence:,How many dogs do you own?,How much do your dogs weigh? (Select all applicable weights),Do you have security cameras to monitor your dogs when you are not home?,How much per month do you spend on the following for your dog(s)? Combine costs across all dogs per category. Set number to $1000 if you spend more. - Insurance,How much per month do you spend on the following for your dog(s)? Combine costs across all dogs per category. Set number to $1000 if you spend more. - Food,How much per month do you spend on the following for your dog(s)? Combine costs across all dogs per category. Set number to $1000 if you spend more. - Boarding,How much per month do you spend on the following for your dog(s)? Combine costs across all dogs per category. Set number to $1000 if you spend more. - Grooming,Are any of your dogs a service animal?,Have you ever driven children in a car seat?,"What was the retail price for that car seat (excluding tax)? If you do not remember, or if you did not purchase that car seat, use your best judgment to estimate the cost of the car seat.",How many days per week do you get at least 30 minutes of exercise?,"How often do you do any of the following with your dog(s)? (1=Never, 5=Always) - Walk","How often do you do any of the following with your dog(s)? (1=Never, 5=Always) - Run","How often do you do any of the following with your dog(s)? (1=Never, 5=Always) - Hunt","How often do you do any of the following with your dog(s)? (1=Never, 5=Always) - Dog Parks","How often do you do any of the following with your dog(s)? (1=Never, 5=Always) - Outdoor Adventures (beach, hiking, camping)","How often do you do any of the following with your dog(s)? (1=Never, 5=Always) - Shopping","How often do you do any of the following with your dog(s)? (1=Never, 5=Always) - Vacation","Do you use a walking assistance device for your dogs (e.g. dog carriage, carrier, purse)?","When you drive with your dogs, what types of vehicles do you drive in?",Are you concerned about the safety of your dog when you are in a car?,Have you ever been in a car accident?,Have you ever been in a car accident with your dog?,Has your dog ever been injured in a car accident?,Have you ever filed an insurance claim for your dog?,Do you restrain your dog in the car?,How much did you pay for the restraint? (Enter 0 if you did not pay for the restraint),"You are considering purchasing a restraint. Rate how the following items influence your decision (1=least influential, 5=most influential): - Available online store","You are considering purchasing a restraint. Rate how the following items influence your decision (1=least influential, 5=most influential): - Available retail store","You are considering purchasing a restraint. Rate how the following items influence your decision (1=least influential, 5=most influential): - Price","You are considering purchasing a restraint. Rate how the following items influence your decision (1=least influential, 5=most influential): - Aesthetics","You are considering purchasing a restraint. Re-order (drag) the following features in order of importance (1=most important, 4=least important): - Removable","You are considering purchasing a restraint. Re-order (drag) the following features in order of importance (1=most important, 4=least important): - Stain resistant","You are considering purchasing a restraint. Re-order (drag) the following features in order of importance (1=most important, 4=least important): - Lightweight","You are considering purchasing a restraint. Re-order (drag) the following features in order of importance (1=most important, 4=least important): - Sturdy","A new dog seat comes on the market that allows you to comfortably restrain your dogs while offering them flexibility of pose (e.g. sitting, lying down, sticking head out window). The dog seat is available in various sizes and fits all vehicle sizes.
Would you pay $100 for this dog seat?","A new dog seat comes on the market that allows you to comfortably restrain your dogs while offering them flexibility of pose (e.g. sitting, lying down, sticking head out window). The dog seat is available in various sizes and fits all vehicle sizes.
Would you pay $200 for this dog seat?","A new dog seat comes on the market that satisfies the new law. This revolutionary car seat is designed for dogs and allows you to travel safely with your fur babies. The high-end dog car seat is comfortable and convenient; is safety certified through crash tests; allows your dog to lay down or sit up; and fits in all size vehicles like a child car seat.



Would you pay $100 for this dog seat?","A new dog seat comes on the market that satisfies the new law. This revolutionary car seat is designed for dogs and allows you to travel safely with your fur babies. The high-end dog car seat is comfortable and convenient; is safety certified through crash tests; allows your dog to lay down or sit up; and fits in all size vehicles like a child car seat.



Would you pay $200 for this dog seat?","Please read the following facts regarding dogs:  - 370 dogs per day die in automobile accidents
  - 1400 dogs per day are injured in automobile accidents  - A crash at 25 mph or higher can be lethal for a dog  - The average veterinarian cost related to dog injury is $1000.
A new dog seat comes on the market that reduces the probability of injury or death by 75%. Dogs are comfortably restrained but still have flexibility of pose (e.g. sitting, lying down, sticking head out window). The dog seat is available in various sizes and fits all vehicle sizes.
Would you pay $100 for this dog seat?","Please read the following facts regarding dogs:  - 370 dogs per day die in automobile accidents
  - 1400 dogs per day are injured in automobile accidents  - A crash at 25 mph or higher can be lethal for a dog  - The average veterinarian cost related to dog injury is $1000.
A new dog seat comes on the market that reduces the probability of injury or death by 75%. Dogs are comfortably restrained but still have flexibility of pose (e.g. sitting, lying down, sticking head out window). The dog seat is available in various sizes and fits all vehicle sizes.
Would you pay $200 for this dog seat?","Suppose that a law has been passed requiring dogs to be restrained in a vehicle at all times. First time infractions face fines up to $250. Future infractions could cost up to $1000 each.
A new dog seat comes on the market that satisfies the new law. This dog seat allows you to comfortably restrain your dogs while offering them flexibility of pose (e.g. sitting, lying down, sticking head out window). The dog seat is available in various sizes and fits all vehicle sizes. 
Would you pay $100 for this dog seat?","Suppose that a law has been passed requiring dogs to be restrained in a vehicle at all times. First time infractions face fines up to $250. Future infractions could cost up to $1000 each.
A new dog seat comes on the market that satisfies the new law. This dog seat allows you to comfortably restrain your dogs while offering them flexibility of pose (e.g. sitting, lying down, sticking head out window). The dog seat is available in various sizes and fits all vehicle sizes. 
Would you pay $200 for this dog seat?","Please read the following facts regarding dogs:  - 370 dogs per day die in automobile accidents  - 1400 dogs per day are injured in automobile accidents  - A crash at 25 mph or higher can be lethal for a dog  - The average veterinarian cost related to dog injury is $1000. 
Suppose a law has been passed requiring dogs to be restrained in a vehicle at all times. First time infractions face fines up to $250. Future infractions could cost up to $1000 each.

A new car seat is introduced that satisfies this law. Further, this dog seat is estimated to reduce the probability of injury or death by 75%.
This revolutionary car seat is designed for dogs and allows you to travel safely with your fur babies. The high-end dog car seat is comfortable and convenient; is safety certified through crash tests; allows your dog to lay down or sit up; and fits in all size vehicles like a child car seat.

Would you pay $200 for this dog seat? 
Would you pay $100 for this dog seat?","Please read the following facts regarding dogs:  - 370 dogs per day die in automobile accidents  - 1400 dogs per day are injured in automobile accidents  - A crash at 25 mph or higher can be lethal for a dog  - The average veterinarian cost related to dog injury is $1000. 
Suppose a law has been passed requiring dogs to be restrained in a vehicle at all times. First time infractions face fines up to $250. Future infractions could cost up to $1000 each.

A new car seat is introduced that satisfies this law. Further, this dog seat is estimated to reduce the probability of injury or death by 75%.
This revolutionary car seat is designed for dogs and allows you to travel safely with your fur babies. The high-end dog car seat is comfortable and convenient; is safety certified through crash tests; allows your dog to lay down or sit up; and fits in all size vehicles like a child car seat.

Would you pay $200 for this dog seat? 
Would you pay $200 for this dog seat?",What is the maximum you expect to pay for a dog seat?
"{""ImportId"":""QID39""}","{""ImportId"":""QID40""}","{""ImportId"":""QID41""}","{""ImportId"":""QID42""}","{""ImportId"":""QID43""}","{""ImportId"":""QID44""}","{""ImportId"":""QID45""}","{""ImportId"":""QID59""}","{""ImportId"":""QID60""}","{""ImportId"":""QID62""}","{""ImportId"":""QID85_1""}","{""ImportId"":""QID85_2""}","{""ImportId"":""QID85_3""}","{""ImportId"":""QID85_5""}","{""ImportId"":""QID64""}","{""ImportId"":""QID48""}","{""ImportId"":""QID49""}","{""ImportId"":""QID54""}","{""ImportId"":""QID57_1""}","{""ImportId"":""QID57_2""}","{""ImportId"":""QID57_4""}","{""ImportId"":""QID57_5""}","{""ImportId"":""QID57_6""}","{""ImportId"":""QID57_10""}","{""ImportId"":""QID57_11""}","{""ImportId"":""QID71""}","{""ImportId"":""QID72""}","{""ImportId"":""QID66""}","{""ImportId"":""QID53""}","{""ImportId"":""QID68""}","{""ImportId"":""QID69""}","{""ImportId"":""QID70""}","{""ImportId"":""QID81""}","{""ImportId"":""QID82_TEXT""}","{""ImportId"":""QID80_7""}","{""ImportId"":""QID80_8""}","{""ImportId"":""QID80_6""}","{""ImportId"":""QID80_3""}","{""ImportId"":""QID83_1""}","{""ImportId"":""QID83_2""}","{""ImportId"":""QID83_3""}","{""ImportId"":""QID83_4""}","{""ImportId"":""QID78""}","{""ImportId"":""QID86""}","{""ImportId"":""QID73""}","{""ImportId"":""QID87""}","{""ImportId"":""QID75""}","{""ImportId"":""QID88""}","{""ImportId"":""QID76""}","{""ImportId"":""QID89""}","{""ImportId"":""QID77""}","{""ImportId"":""QID90""}","{""ImportId"":""QID74_TEXT""}"
Male,25-40,"$50,000 -$99,999",Some college,Married or Domestic Partnership,Rural,Single family home,2,41-70 lbs,Yes,,86,,,No,Yes,< $100,3-5,1 = Never,1 = Never,2,1 = Never,2,1 = Never,1 = Never,No,Truck,No,Yes,No,No,No,No,,3,3,3,1 = Least Influential,1,2,4,3,,,,,,,,,No,,0 my dogs would just not ride in the car
Female,25-40,"< $50,000",Some college,Married or Domestic Partnership,Urban,Apartment,2,"< 10 lbs,41-70 lbs",No,,116,,,Yes,Yes,$200 - $299,1-2,3,1 = Never,1 = Never,4,4,3,5 = Always,No,Mini-van or van,Yes,No,No,No,No,No,,4,5 = Most Influential,3,1 = Least Influential,2,4,3,1,,,,,Yes,,,,,,100
Male,18-25,"< $50,000",Some college,In a relationship,Suburban,Single family home,2,71-90 lbs,No,,100,0,0,No,No,,1-2,3,2,1 = Never,1 = Never,4,1 = Never,3,No,"Sedan,Mini-van or van",No,No,No,No,No,No,,4,5 = Most Influential,4,3,2,4,3,1,Yes,,,,,,,,,,150
Female,18-25,"$50,000 -$99,999",Some college,Single,Suburban,Single family home,1,26-40 lbs,No,52,40,0,14,No,No,,6-7,5 = Always,2,1 = Never,3,3,1 = Never,3,No,Compact,No,Yes,No,No,No,No,,3,4,5 = Most Influential,2,,,,,No,,,,,,,,,,$45
Male,25-40,"$50,000 -$99,999",2 year degree,Married or Domestic Partnership,Suburban,Single family home,3+,26-40 lbs,No,,100,,42,No,Yes,$200 - $299,3-5,3,2,1 = Never,3,2,1 = Never,2,No,Sedan,No,Yes,No,No,No,No,,4,3,5 = Most Influential,1 = Least Influential,1,2,3,4,,,Yes,,,,,,,,150$
Male,25-40,"$50,000 -$99,999",4 year degree,Married or Domestic Partnership,Suburban,Single family home,2,41-70 lbs,No,,51,57,,No,Yes,$100 - $199,3-5,3,2,1 = Never,2,2,1 = Never,2,No,"SUV or Cross-over,Mini-van or van",No,Yes,No,No,No,No,,2,1 = Least Influential,3,2,1,3,4,2,,No,,,,,,,,,120
Female,25-40,"$50,000 -$99,999",4 year degree,In a relationship,Suburban,Apartment,2,"41-70 lbs,71-90 lbs",No,,172,,,No,No,,3-5,5 = Always,1 = Never,1 = Never,1 = Never,2,1 = Never,2,No,Sports car,Yes,Yes,Yes,No,No,No,,4,4,2,1 = Least Influential,2,4,1,3,,,,,,,,,Yes,,150
Female,18-25,"< $50,000",4 year degree,Single,Urban,Single family home,3+,"11-25 lbs,26-40 lbs,71-90 lbs",No,112,178,11,69,No,Yes,< $100,1-2,3,1 = Never,1 = Never,1 = Never,3,1 = Never,3,Yes,SUV or Cross-over,No,Yes,No,No,No,No,,1 = Least Influential,2,5 = Most Influential,2,3,4,2,1,,,,,,,,Yes,,,250
Female,25-40,"$50,000 -$99,999",Graduate degree and beyond,Single,Suburban,Single family home,1,< 10 lbs,Yes,26,20,,,No,Yes,$100 - $199,3-5,5 = Always,1 = Never,1 = Never,1 = Never,3,2,2,Yes,SUV or Cross-over,Yes,Yes,No,No,Yes,Yes,25.00,3,3,3,3,2,3,4,1,,,Yes,,,,,,,,150
Female,18-25,"< $50,000",4 year degree,In a relationship,Major City,Apartment,1,11-25 lbs,Yes,,10,10,,No,No,,3-5,5 = Always,1 = Never,1 = Never,5 = Always,5 = Always,2,2,No,Compact,Yes,Yes,No,No,No,Yes,10,5 = Most Influential,5 = Most Influential,5 = Most Influential,1 = Least Influential,3,4,2,1,,,Yes,,,,,,,,100
Male,41-56,"< $50,000",High school graduate,Married or Domestic Partnership,Suburban,Single family home,2,"41-70 lbs,71-90 lbs",Yes,,123,,,No,Yes,$100 - $199,1-2,3,1 = Never,1 = Never,1 = Never,2,1 = Never,2,No,Mini-van or van,No,Yes,No,No,No,No,,2,2,2,2,3,1,4,2,,,,,,No,,,,,50
Female,25-40,"< $50,000",Some college,Single,Suburban,Multi-family home,2,41-70 lbs,Yes,,25,,,No,No,,0,1 = Never,1 = Never,1 = Never,1 = Never,3,1 = Never,1 = Never,No,Truck,No,No,No,No,No,No,,3,3,5 = Most Influential,4,2,3,4,1,,,,,,,Yes,,,,$100.00
Female,18-25,"$100,000 - $149,999",Some college,Single,Rural,Multi-family home,1,11-25 lbs,No,197,417,,,No,No,,3-5,3,3,1 = Never,1 = Never,3,1 = Never,1 = Never,No,I do not drive with my dogs,Yes,No,No,No,No,Yes,0,2,5 = Most Influential,4,1 = Least Influential,2,4,3,1,Yes,,,,,,,,,,150
Female,25-40,"< $50,000",High school graduate,Single,Major City,Single family home,2,< 10 lbs,No,,201,,,No,No,,1-2,4,2,1 = Never,1 = Never,1 = Never,1 = Never,1 = Never,No,I do not drive with my dogs,Yes,No,No,No,No,Yes,0,4,4,4,4,,,,,,,No,,,,,,,,$50
Male,41-56,"$150,000 - $199,999",Graduate degree and beyond,Married or Domestic Partnership,Major City,Condominium,1,< 10 lbs,Yes,72,57,,37,No,No,,0,5 = Always,1 = Never,1 = Never,2,2,1 = Never,3,No,Sedan,Yes,Yes,No,No,No,No,,1 = Least Influential,1 = Least Influential,4,3,2,4,3,1,,,Yes,,,,,,,,100
Female,25-40,"< $50,000",4 year degree,Single,Rural,Single family home,1,< 10 lbs,No,0,7,0,10,No,No,,3-5,5 = Always,1 = Never,1 = Never,1 = Never,1 = Never,1 = Never,2,No,"SUV or Cross-over,Compact",Yes,No,No,No,No,Yes,0,4,4,5 = Most Influential,1 = Least Influential,2,4,3,1,,,,,,,,No,,,30
Male,41-56,"$100,000 - $149,999",4 year degree,Married or Domestic Partnership,Suburban,Single family home,1,26-40 lbs,No,,70,,13,No,Yes,$100 - $199,3-5,2,1 = Never,1 = Never,1 = Never,1 = Never,1 = Never,1 = Never,No,I do not drive with my dogs,No,Yes,No,No,No,No,,4,4,5 = Most Influential,2,1,4,2,3,,,,,,,,,Yes,,$200
Male,25-40,"$100,000 - $149,999",2 year degree,Married or Domestic Partnership,Suburban,Single family home,2,"11-25 lbs,26-40 lbs",No,,81,,,No,Yes,$100 - $199,1-2,2,1 = Never,1 = Never,2,2,1 = Never,2,No,"SUV or Cross-over,Truck",Yes,No,No,No,No,No,,4,3,5 = Most Influential,3,2,4,3,1,,,,,,,No,,,,30
Female,25-40,"$100,000 - $149,999",Graduate degree and beyond,Married or Domestic Partnership,Rural,Single family home,2,41-70 lbs,No,,95,,,No,Yes,$100 - $199,0,2,1 = Never,1 = Never,1 = Never,2,1 = Never,3,No,SUV or Cross-over,Yes,Yes,No,No,No,Yes,100,5 = Most Influential,2,4,3,2,4,3,1,,,,,Yes,,,,,,150
Male,25-40,"$50,000 -$99,999",4 year degree,Married or Domestic Partnership,Suburban,Single family home,2,41-70 lbs,No,,54,,20,No,Yes,$100 - $199,3-5,3,2,1 = Never,2,3,1 = Never,3,No,"SUV or Cross-over,Sedan",Yes,No,No,No,No,Yes,30,4,4,3,2,2,4,3,1,,,,,,,,,,No,75
Female,25-40,"$50,000 -$99,999",High school graduate,Married or Domestic Partnership,Major City,Single family home,1,11-25 lbs,No,0,30,0,22,No,Yes,$50 - $99,6-7,4,1 = Never,1 = Never,2,3,4,3,Yes,"SUV or Cross-over,Truck",No,Yes,No,No,No,Yes,20,4,3,3,3,1,3,4,2,,,,,No,,,,,,20
Female,18-25,"$50,000 -$99,999",Some college,In a relationship,Urban,Single family home,1,71-90 lbs,No,,41,,0,No,Yes,$100 - $199,3-5,2,1 = Never,1 = Never,2,1 = Never,1 = Never,1 = Never,No,Sedan,Yes,Yes,No,No,No,No,,1 = Least Influential,2,4,2,2,4,3,1,,,,,,,,Yes,,,300
Male,25-40,"$100,000 - $149,999",Some college,Married or Domestic Partnership,Suburban,Single family home,1,41-70 lbs,Yes,,50,,,No,Yes,$100 - $199,3-5,5 = Always,4,1 = Never,3,2,1 = Never,3,No,SUV or Cross-over,Yes,Yes,No,No,No,No,,3,4,3,3,3,4,2,1,,,,,,,,,Yes,,300
Female,18-25,"$50,000 -$99,999",High school graduate,Single,Urban,Single family home,3+,"< 10 lbs,11-25 lbs,26-40 lbs",Yes,,35,,51,No,No,,1-2,3,1 = Never,1 = Never,1 = Never,4,2,2,Yes,Mini-van or van,Yes,No,No,No,No,Yes,11,3,2,4,2,2,3,4,1,,,,,,,,No,,,100
Female,18-25,"$50,000 -$99,999",4 year degree,In a relationship,Urban,Single family home,1,11-25 lbs,No,,65,,,No,No,,6-7,5 = Always,5 = Always,1 = Never,2,2,1 = Never,1 = Never,No,Compact,Yes,No,No,No,No,No,,4,5 = Most Influential,5 = Most Influential,3,3,4,2,1,,No,,,,,,,,,50
Female,25-40,"$50,000 -$99,999",High school graduate,Married or Domestic Partnership,Urban,Single family home,1,71-90 lbs,No,68,157,28,47,No,Yes,$100 - $199,6-7,4,3,1 = Never,1 = Never,1 = Never,1 = Never,1 = Never,No,SUV or Cross-over,Yes,No,No,No,No,No,,4,4,5 = Most Influential,1 = Least Influential,4,3,2,1,,No,,,,,,,,,80
Female,41-56,"< $50,000",Some college,Single,Rural,Single family home,3+,"< 10 lbs,11-25 lbs,26-40 lbs,41-70 lbs",No,,120,,52,No,Yes,$50 - $99,1-2,2,1 = Never,1 = Never,1 = Never,2,2,2,No,Sedan,Yes,Yes,No,No,No,Yes,0,3,3,5 = Most Influential,1 = Least Influential,1,4,3,2,,,,,,,,,,No,$45
